LA_Code,LA_Name,Active_Partnership_CODE,Active_Partnership_NAME,Active_Partnership_Label,Region
E06000047,County Durham,CSP001,Durham,County Durham Sport,North East
E06000001,Hartlepool,CSP002,Tees Valley,Tees Valley Sport,North East
E06000002,Middlesbrough,CSP002,Tees Valley,Tees Valley Sport,North East
E06000003,Redcar and Cleveland,CSP002,Tees Valley,Tees Valley Sport,North East
E06000004,Stockton-on-Tees,CSP002,Tees Valley,Tees Valley Sport,North East
E06000005,Darlington,CSP002,Tees Valley,Tees Valley Sport,North East
E06000057,Northumberland,CSP003,Northumberland,Northumberland Sport (NNEAP),North East
E08000022,North Tyneside,CSP004,Tyne and Wear,Tyne and Wear Sport (NNEAP),North East
E08000023,South Tyneside,CSP004,Tyne and Wear,Tyne and Wear Sport (NNEAP),North East
E08000024,Sunderland,CSP004,Tyne and Wear,Tyne and Wear Sport (NNEAP),North East
E08000021,Newcastle upon Tyne,CSP004,Tyne and Wear,Tyne and Wear Sport (NNEAP),North East
E08000037,Gateshead,CSP004,Tyne and Wear,Tyne and Wear Sport (NNEAP),North East
E06000007,Warrington,CSP005,Cheshire,Active Cheshire,North West
E06000049,Cheshire East,CSP005,Cheshire,Active Cheshire,North West
E06000050,Cheshire West and Chester,CSP005,Cheshire,Active Cheshire,North West
E07000026,Allerdale,CSP006,Cumbria,Active Cumbria,North West
E07000027,Barrow-in-Furness,CSP006,Cumbria,Active Cumbria,North West
E07000028,Carlisle,CSP006,Cumbria,Active Cumbria,North West
E07000029,Copeland,CSP006,Cumbria,Active Cumbria,North West
E07000030,Eden,CSP006,Cumbria,Active Cumbria,North West
E07000031,South Lakeland,CSP006,Cumbria,Active Cumbria,North West
E06000008,Blackburn with Darwen,CSP007,Lancashire,Active Lancashire,North West
E06000009,Blackpool,CSP007,Lancashire,Active Lancashire,North West
E07000117,Burnley,CSP007,Lancashire,Active Lancashire,North West
E07000122,Pendle,CSP007,Lancashire,Active Lancashire,North West
E07000123,Preston,CSP007,Lancashire,Active Lancashire,North West
E07000118,Chorley,CSP007,Lancashire,Active Lancashire,North West
E07000126,South Ribble,CSP007,Lancashire,Active Lancashire,North West
E07000119,Fylde,CSP007,Lancashire,Active Lancashire,North West
E07000120,Hyndburn,CSP007,Lancashire,Active Lancashire,North West
E07000121,Lancaster,CSP007,Lancashire,Active Lancashire,North West
E07000124,Ribble Valley,CSP007,Lancashire,Active Lancashire,North West
E07000125,Rossendale,CSP007,Lancashire,Active Lancashire,North West
E07000127,West Lancashire,CSP007,Lancashire,Active Lancashire,North West
E07000128,Wyre,CSP007,Lancashire,Active Lancashire,North West
E08000005,Rochdale,CSP008,Greater Manchester,Greater Sport,North West
E08000006,Salford,CSP008,Greater Manchester,Greater Sport,North West
E08000003,Manchester,CSP008,Greater Manchester,Greater Sport,North West
E08000004,Oldham,CSP008,Greater Manchester,Greater Sport,North West
E08000001,Bolton,CSP008,Greater Manchester,Greater Sport,North West
E08000002,Bury,CSP008,Greater Manchester,Greater Sport,North West
E08000007,Stockport,CSP008,Greater Manchester,Greater Sport,North West
E08000008,Tameside,CSP008,Greater Manchester,Greater Sport,North West
E08000009,Trafford,CSP008,Greater Manchester,Greater Sport,North West
E08000010,Wigan,CSP008,Greater Manchester,Greater Sport,North West
E06000006,Halton,CSP009,Merseyside,MSP (Merseyside),North West
E08000013,St. Helens,CSP009,Merseyside,MSP (Merseyside),North West
E08000011,Knowsley,CSP009,Merseyside,MSP (Merseyside),North West
E08000012,Liverpool,CSP009,Merseyside,MSP (Merseyside),North West
E08000014,Sefton,CSP009,Merseyside,MSP (Merseyside),North West
E08000015,Wirral,CSP009,Merseyside,MSP (Merseyside),North West
E08000032,Bradford,CSP010,West Yorkshire,Yorkshire Sport Foundation (West Yorkshire),Yorkshire
E08000033,Calderdale,CSP010,West Yorkshire,Yorkshire Sport Foundation (West Yorkshire),Yorkshire
E08000034,Kirklees,CSP010,West Yorkshire,Yorkshire Sport Foundation (West Yorkshire),Yorkshire
E08000036,Wakefield,CSP010,West Yorkshire,Yorkshire Sport Foundation (West Yorkshire),Yorkshire
E08000035,Leeds,CSP010,West Yorkshire,Yorkshire Sport Foundation (West Yorkshire),Yorkshire
E06000010,"Kingston upon Hull, City of",CSP011,Humber,Active Humber,Yorkshire
E06000011,East Riding of Yorkshire,CSP011,Humber,Active Humber,Yorkshire
E06000012,North East Lincolnshire,CSP011,Humber,Active Humber,Yorkshire
E06000013,North Lincolnshire,CSP011,Humber,Active Humber,Yorkshire
E08000016,Barnsley,CSP012,South Yorkshire,Yorkshire Sport Foundation (South Yorkshire),Yorkshire
E08000017,Doncaster,CSP012,South Yorkshire,Yorkshire Sport Foundation (South Yorkshire),Yorkshire
E08000018,Rotherham,CSP012,South Yorkshire,Yorkshire Sport Foundation (South Yorkshire),Yorkshire
E08000019,Sheffield,CSP012,South Yorkshire,Yorkshire Sport Foundation (South Yorkshire),Yorkshire
E06000014,York,CSP013,North Yorkshire,North Yorkshire Sport,Yorkshire
E07000163,Craven,CSP013,North Yorkshire,North Yorkshire Sport,Yorkshire
E07000164,Hambleton,CSP013,North Yorkshire,North Yorkshire Sport,Yorkshire
E07000165,Harrogate,CSP013,North Yorkshire,North Yorkshire Sport,Yorkshire
E07000166,Richmondshire,CSP013,North Yorkshire,North Yorkshire Sport,Yorkshire
E07000167,Ryedale,CSP013,North Yorkshire,North Yorkshire Sport,Yorkshire
E07000168,Scarborough,CSP013,North Yorkshire,North Yorkshire Sport,Yorkshire
E07000169,Selby,CSP013,North Yorkshire,North Yorkshire Sport,Yorkshire
E07000202,Ipswich,CSP014,Suffolk,Active Suffolk,East
E07000200,Babergh,CSP014,Suffolk,Active Suffolk,East
E07000203,Mid Suffolk,CSP014,Suffolk,Active Suffolk,East
E07000244,East Suffolk,CSP014,Suffolk,Active Suffolk,East
E07000245,West Suffolk,CSP014,Suffolk,Active Suffolk,East
E06000032,Luton,CSP015,Bedfordshire,Team Beds & Luton,East
